time,symbol,volume,open,high,low,last,change,percent,turnover_rate
2017-06-05,600519.SH,1924120,423.889,424.7973,418.5057,420.4547,-2.7508,-0.65,0.15
2017-06-06,600519.SH,2040244,420.9845,424.7973,420.256,424.627,4.1626,0.99,0.16
2017-06-07,600519.SH,3883430,424.9108,435.2043,424.9108,434.6083,9.9788,2.35,0.31
2017-06-08,600519.SH,2895111,436.4532,439.3671,433.7852,439.282,4.6936,1.08,0.23
2017-06-09,600519.SH,3143076,439.2158,445.4222,438.0426,440.6349,1.3617,0.31,0.25
2017-06-12,600519.SH,3510916,441.827,449.812,439.9348,447.39,6.7419,1.53,0.28
2017-06-13,600519.SH,2423798,447.5509,448.9227,441.827,447.5414,0.1342,0.03,0.19
2017-06-14,600519.SH,3376863,447.3049,451.761,445.1194,448.8186,1.2978,0.29,0.27
2017-06-15,600519.SH,5020280,449.3958,449.8499,438.9887,439.2725,-9.5601,-2.13,0.4
2017-06-16,600519.SH,3333180,436.6235,442.2906,436.3964,437.6925,-1.5814,-0.36,0.27
2017-06-19,600519.SH,3853668,437.0587,445.0343,437.0587,444.8261,7.1344,1.63,0.31
2017-06-20,600519.SH,3450539,447.5036,449.2822,440.5592,441.1647,-3.6475,-0.82,0.27
2017-06-21,600519.SH,4203854,444.2395,447.5036,440.9093,447.2292,6.0442,1.37,0.33
2017-06-22,600519.SH,3824234,447.5225,452.1678,445.8006,447.267,0.0447,0.01,0.3
2017-06-23,600519.SH,3130362,447.3711,449.2822,443.0853,447.2481,0.0,0.0,0.25
2017-06-26,600519.SH,5293257,447.513,458.8567,446.5575,458.554,11.3151,2.53,0.42
2017-06-27,600519.SH,2798078,456.7942,458.8567,454.9304,458.0052,-0.5503,-0.12,0.22
2017-06-28,600519.SH,3772874,457.9958,457.9958,447.5036,449.6796,-8.3359,-1.82,0.3
2017-06-29,600519.SH,3509272,450.6257,451.6191,444.6653,447.513,-2.1584,-0.48,0.28
2017-06-30,600519.SH,2242717,446.0939,448.601,442.5839,446.4156,-1.1188,-0.25,0.18
2017-07-03,600519.SH,4962853,448.6389,448.6389,433.2175,435.5544,-10.8476,-2.43,0.4
2017-07-04,600519.SH,5648895,434.2204,435.2043,424.7973,427.5599,-8.0146,-1.84,0.45
