"地区编码",单位名称,邮政编码,详细地址,评估定级情况,总藏量,电子图书,书架单层总长度,本年新增藏量,本年新增电子图书,当年购买的报刊种类,有效借书证数,总流通人次,书刊文献外借册次,计算机,图书馆网站访问量,实际使用公用房屋建筑面积,实际拥有产权面积,阅览室坐席数,联系电话,组织机构代码,年份
331024,仙居县图书馆,317300,浙江省仙居县城关解放街2号,二级馆,0.0,820322.0,168000.0,12428.0,109753.0,60000.0,263.0,28016.0,1501679.0,883609.0,90.0,79082.0,8204.0,1440.0,1000,87772767,2018
330101,杭州少年儿童图书馆,310000,杭州市曙光路75号,一级馆,1301276.0,1012729.0,5352.0,105536.0,800315.0,517.0,39716.0,555881.0,1049592.0,92.0,6409439.0,6003.0,5695.0,557.0,86535018,470115283,2017
331199,丽水市图书馆,323000,丽水市文昌路144号,无等级馆,349269.0,1000000.0,2673.0,16567.0,3518.0,492.0,12131.0,246823.0,149844.0,60.0,552311.0,1553.0,1553.0,45.0,2272080,472311069,2016
331004,台州市路桥区图书馆,318050,台州市路桥区路北街道腾达路1300号,无等级馆,267914.0,1000000.0,4555.0,42129.0,1000000.0,911.0,21096.0,1095332.0,414804.0,127.0,101518.0,24690.0,0.0,323.0,82462469,786431960,2016
330726,浦江县图书馆,322200,浙江省浦江县浦阳镇书画街62＃,一级馆,260640.0,20100.0,5250.0,11021.0,0.0,356.0,13180.0,121008.0,171012.0,9630.0,9630.0,3100.0,2500.0,440.0,84112451,471680049,2016
330603,绍兴市柯桥区图书馆,312030,绍兴市柯桥区明珠路396号,一级馆,0.0,532586.0,77624.0,6425.0,31098.0,0.0,1396.0,69106.0,1112180.0,505696.0,114.0,158056.0,9646.0,4800.0,1174,85282968,2018
330802,柯城区公共图书馆,324000,衢州市兴华街8号,无等级馆,0.0,854726.0,5530.0,6.0,131031.0,5530.0,131.0,1341.0,15000.0,3670.0,70.0,0.0,4500.0,4500.0,389,3070712,2018
331023,天台县图书馆,317200,天台县赤城街道劳动路27号,二级馆,495580.0,76354.0,2146.0,40002.0,1000.0,196.0,15431.0,1510435.0,504500.0,34.0,0.0,1658.0,1658.0,165.0,83880298,799629626,2017
330212,宁波市鄞州区图书馆,315100,浙江省宁波市鄞州区钱湖南路928号,一级馆,1408445.0,0.0,7500.0,150877.0,0.0,1915.0,424829.0,2800000.0,1580000.0,285.0,16382.0,26355.0,0.0,1256.0,88126558,419612735,2016
330301,温州市少儿图书馆,325000,温州市园西巷2号,一级馆,0.0,1342983.0,45673.0,5074.0,174010.0,0.0,480.0,181714.0,1352134.0,1834029.0,116.0,4020818.0,9416.0,9416.0,876,56610187,2018
330127,淳安县图书馆,311700,千岛湖镇青溪新城珍珠大道珍珠一路111号,二级馆,0.0,576900.0,6355.0,381.0,88622.0,0.0,386.0,395970.0,437968.0,581256.0,55.0,3032.0,7354.0,1889.0,400,64823367,2018
330381,瑞安市图书馆,325200,瑞安市安阳罗阳大道瑞安广场东首,一级馆,0.0,997085.0,1449100.0,8000.0,100574.0,36100.0,1971.0,138914.0,1514925.0,1095889.0,160.0,96466.0,14872.0,12172.0,480,66886991,2018
